,screen_name,lang,created_at,fav_count,retweet_count,text,location
94,anzacia09,in,2020-11-20 09:46:58,0,30,"RT @abiridwan2173: Top 10 univ asal pelamar #CPNS2019 yg paling banyak lulus:

1. UT @UnivTerbuka 
2. UGM @UGMYogyakarta 
3. UPI @upi_offic…","Sungai Keruh, Indonesia"
95,anzacia09,in,2020-11-20 09:46:54,0,33,"RT @abiridwan2173: Fun fact lulusan seleksi #CPNS2019:

Jenis Kelamin
Wanita 60,93%
Pria 39,07%

Rentang Usia
18-20 1,49% 
21-25 31,43% 
26…","Sungai Keruh, Indonesia"
96,anzacia09,in,2020-11-20 09:43:38,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Sungai Keruh, Indonesia"
97,thoyibfaisal,en,2020-11-20 09:31:31,0,22,"RT @abiridwan2173: As of Nov 19, 2020 at 20.00, 98,72% of #CPNS2019 has uploaded their CVs into the system.

Whether you got the notif or n…","Banyuwangi, Indonesia"
98,Gbigboss2,in,2020-11-20 09:29:37,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
99,Gbigboss2,en,2020-11-20 09:27:39,0,22,"RT @abiridwan2173: As of Nov 19, 2020 at 20.00, 98,72% of #CPNS2019 has uploaded their CVs into the system.

Whether you got the notif or n…",
100,OnikSri,in,2020-11-20 05:54:42,0,178,"RT @BKNgoid: Dalam masa pemberkasan CPNS2019 ini, #SobatBKN g perlu terlalu khwatir dg berkas yg sdh diunggah, apakah sdh memenuhi syarat /…",
101,FiransyahNahar,in,2020-11-20 05:09:38,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…","Kota Makassar, Sulawesi Selata"
102,Rolyadins,in,2020-11-20 05:02:06,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
103,mofrizal,in,2020-11-20 04:56:11,0,22,"RT @abiridwan2173: Per 16 Nov 2020 pukul 15.00 WIB, 136.957 peserta pemberkasan #CPNS2019 telah unggah DRH.

Hiruk pikuk pembuatan SKCK, su…",Jakarta - Indonesia
104,abdulone_,in,2020-11-20 04:23:24,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
105,niasasnia,in,2020-11-20 03:55:02,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
106,FBilayudha,in,2020-11-20 03:35:14,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Belitung
107,elfhap,in,2020-11-20 03:34:45,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",Indonesia
108,risma13314861,in,2020-11-20 03:34:29,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
109,aigokamjagiyaa,in,2020-11-20 03:29:41,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
110,Mas_Hardiyanto,in,2020-11-20 03:29:41,0,31,"RT @abiridwan2173: In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Peluang…",
111,abiridwan2173,in,2020-11-20 03:28:55,105,31,"In the middle of difficulty lies opportunity.

Formasi kosong #CPNS2019 dpt diajukan lg tahun 2021 oleh K/L/D.

Pel… https://t.co/BrygPTtneN","Jakarta, Indonesia"
